itemNumber,modelNumber,shortDescription,mainHeading,mainDescription,bullets,specifications,specVersions,brandName,packagedWeight,dateModified,category_id,categoryPathIDs,categoryPathTitle,categoryPathUrl,stockLevelHint,sspGBP,featured_image,product_image_gallery
953.425UK,A200,A200 Compact Mixer-Amp 2x100W,A200 Stereo PA Amplifier,"Digital stereo PA amplifier with integral media player and a class-D amplifier section delivering up to 2 x 100W max. output for background music with a microphone input for announcements or alerts. 

The media player section can select between USB / microSD mp3 player, FM tuner, Bluetooth receiver, 2 stereo line inputs (rear panel RCA) and another line input on the front panel (3.5mm). Playback can be controlled from the front panel or by the supplied I.R. remote control. 

Four mounting brackets are provided which enable the A200 to be fitted under a counter top or against a wall for discreet installation. Two A200 units may be mounted side-by-side into a 1U rack space, which can serve smaller peripheral zones in a larger PA installation. 

Combine with 2 or 4 speaker units for a truly space-saving sound system with comprehensive and easy-to-use functions. The A200 can deliver power that belies its compact dimensions, capable of powering larger background speakers up to medium-sized PA speakers.",2 x 100W output at 4 Ohms[br]Bluetooth Receiver[br]USB/microSD audio player + FM tuner[br]Supplied with I.R. remote control[br]Supplied with 4 rotatable mounting brackets[br]Microphone input with separate volume control,"Power supply[tab]230Vac, 50Hz (IEC)[br]Speaker : impedance[tab]4 - 8 Ohms (each channel)[br]Output power : 8 Ohms[tab]2 x 35W rms / 2 x 55W class-D (@ 1kHz 10% THD)[br]Output power : 4 Ohms[tab]2 x 55W rms / 2 x 100W max. (@ 1kHz 10% THD)[br]Inputs : Line[tab]Aux 1 (3.5mm), Aux 2 (L+R RCA), Aux 3 (L+R RCA)[br]Input : mic[tab]6.3mm jack[br]Controls[tab]Mic Volume, Treble, Bass, Music Volume[br]Audio source[tab]USB/microSD player, FM tuner, Bluetooth[br]Antenna connection[tab]F-type (FM tuner)[br]Dimensions[tab]215 x 180 x 43mm[br]Weight[tab]1.015kg",,Adastra,1.128,19/04/2023 14:04,172,"1,165,172",Amplifiers -> Stereo Amplifiers,amplifiers/stereo-amplifiers,100+,89,https://www.avsl.com/assets/images/9/5/953425UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953425UK_CO3.jpg
953.446UK,RM4460,RM4460 Zoning 100V Mixer-amplifier 4 x 60W,RM4460 Zoning 100V Mixer-Amp 4 x 60W,"1U 19"" rack-mountable quad amplifier with 4 input channels and 4 independent speaker outputs. Each output can deliver up to 60W to either low impedance (4 or 8 ohm) or 100V speakers by connecting either the upper or lower screw terminals on the rear panel. An internal media player can play audio files from a USB pen drive, tune to FM radio stations or connect via Bluetooth® to a smartphone for wireless playback of stored audio tracks. A paging mic input has switchable Vox function to override other channels. 2 further balanced inputs can be selected to accept mic or line level input with switchable phantom power. Channels 1 to 3 also each have Bass and Treble controls for tone adjustment. A separate line input has RCA or screw terminal connection and, if required, can be switched to serve the internal media player. Each of the four inputs can be selected to any or all of the four output zones, each with a separate output level control and line level output for expanding to further amplifiers or powered speakers. An optional CS4 call station may be added if specific area paging is needed, providing a fully independent and flexible zoning system for background music, recorded information and announcements.",4 independent class-D 60W amplifiers[br]100V or low impedance output options[br]Internal USB/FM/Bluetooth player[br]24V EMG contacts mute inputs 2-4[br]Optional call station - CS4 (953.146UK),"Power supply[tab]100/240Vac, 50/60Hz (IEC) [br]Fuse rating[tab]5A[br]Inputs[tab]Paging mic, 2 x mic/line, 1 x line/media player[br]Input connections[tab]3 x XLR, 1 x RCA/screw terminal, RJ45 (CS4), 3.5mm Aux[br]Output connections[tab]4 x 100V (+/-), 4 x 4 ohm (+/-), 4 x RCA (line level)[br]Call station input[tab]RJ45[br]Audio source[tab]USB player, FM tuner and Bluetooth receiver[br]Fire alarm contacts[tab]24V screw terminals[br]Output power : rms[tab]4 x 60W (100V or 4 ohm)[br]Dimensions[tab]482 x 283 x 43mm[br]Weight[tab]6.85kg[br]Input impedance : mic[tab]5k Ohms[br]Input sensitivity : mic[tab]-38dBV[br]Input sensitivity : line[tab]-10dBV[br]Input impedance : line[tab]10k Ohms[br]Input sensitivity : call station[tab]0dBV[br]Input impedance : call station[tab]10k Ohms[br]Equaliser : bass[tab]100Hz ±10dB[br]Equaliser : treble[tab]10kHz ±10dB[br]Phantom power[tab]+20V (switchable inputs 1-3)[br]Bluetooth version[tab]5.0[br]THD +N[tab]<2% @1kHz (rated power)[br]Protection[tab]Short circuit, overload, overhea",,Adastra,8.38,22/09/2023 11:47,167,"1,165,166,167",Amplifiers -> 100V Line -> Full Size (19 inch),amplifiers/100v-line/full-size-19-inch-,10+,459,https://www.avsl.com/assets/images/9/5/953446UK_CO2.jpg,https://www.avsl.com/assets/images/9/5/953446UK_CO1.jpg
953.504UK,RC4U450,Rack Cabinet 4U x 450mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]450mm[br]Mounting depth[tab]370mm[br]Height[tab]279mm[br]Rack height[tab]178mm (4U),Adastra,15.25,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,159,https://www.avsl.com/assets/images/9/5/953504UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953504UK_CO2.jpg
953.506UK,RC6U450,Rack Cabinet 6U x 450mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]450mm[br]Mounting depth[tab]370mm[br]Height[tab]367mm[br]Rack height[tab]267mm (6U),Adastra,17.7,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,0,169,https://www.avsl.com/assets/images/9/5/953506UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953506UK_CO2.jpg
953.509UK,RC9U450,Rack Cabinet 9U x 450mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]450mm[br]Mounting depth[tab]370mm[br]Height[tab]500mm[br]Rack height[tab]400mm (9U),Adastra,20.8,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,189,https://www.avsl.com/assets/images/9/5/953509UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953509UK_LD1.jpg
953.512UK,RC12U450,Rack Cabinet 12U x 450mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]450mm[br]Mounting depth[tab]370mm[br]Height[tab]634mm[br]Rack height[tab]534mm (12U),Adastra,24.6,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,259,https://www.avsl.com/assets/images/9/5/953512UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953512UK_LD1.jpg
953.515UK,RC15U450,Rack Cabinet 15U x 450mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]450mm[br]Mounting depth[tab]370mm[br]Height[tab]767mm[br]Rack height[tab]667mm (15U),Adastra,28,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,259,https://www.avsl.com/assets/images/9/5/953515UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953515UK_LD1.jpg
953.518UK,RC18U450,Rack Cabinet 18U x 450mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]450mm[br]Mounting depth[tab]370mm[br]Height[tab]897mm[br]Rack height[tab]800mm (18U),Adastra,32,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,249,https://www.avsl.com/assets/images/9/5/953518UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953518UK_LD1.jpg
953.522UK,RC22U450,Rack Cabinet 22U x 450mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]450mm[br]Mounting depth[tab]370mm[br]Height[tab]1081mm[br]Rack height[tab]978mm (22U),Adastra,36.8,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,279,https://www.avsl.com/assets/images/9/5/953522UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953522UK_LD1.jpg
953.528UK,RC28U450,Rack Cabinet 28U x 450mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]450mm[br]Mounting depth[tab]370mm[br]Height[tab]1345mm[br]Rack height[tab]1245mm (28U),Adastra,46.5,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,379,https://www.avsl.com/assets/images/9/5/953528UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953528UK_LD1.jpg
953.541UK,RCF-4,Adjustable feet for Rack Cabinets - Set of 4,Adjustable Feet for Rack Cabinets,"A set of 4 support feet for Adastra 19"" rack cabinets. Fitted with a threaded stem for height adjustment and a locking nut.",,Dimensions (each)[tab]88 x 34mmØ[br]Weight (each)[tab]108g,,Adastra,0.9,17/12/2020 12:00,976,"1,823,976","Flight Cases, Racks & Bags -> 19 inch Rack Accessories",flight-cases-racks-bags/19-rack-accessories,10+,7.49,https://www.avsl.com/assets/images/9/5/953541UK_CO1.jpg,
953.542UK,RCC-4,Castors for Rack Cabinet - Set of 4,Castors for Rack Cabinets,A set of 4 swivel castors for fitting to Adastra rack cabinets to allow easy movement for access. Supplied as a set of 2 locking castors and 2 non-locking castors.,,"Dimensions (each)[tab]84 x 73 x 51mm (non-locking), 116 x 73 x 51mm (locking)[br]Weight (each)[tab]265g (non-locking), 321g (locking)",,Adastra,2,27/09/2022 13:01,976,"1,823,976","Flight Cases, Racks & Bags -> 19 inch Rack Accessories",flight-cases-racks-bags/19-rack-accessories,10+,29.99,https://www.avsl.com/assets/images/9/5/953542UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953542UK_CO2.jpg
953.552UK,CU-2,1U Dual Fan Cooling Unit,"19"" Rack Fan Cooling Unit","Fan cooling unit for 19"" rack cabinets to improve air-flow from above equipment that generates heat during operation.",Hard-wired UK mains lead 1.5m,"Power supply[tab]230Vac, 50Hz [br]Lead length[tab]1.5m (UK plug top BS1363)[br]Power consumption max.[tab]14.5W[br]Dimensions[tab]483 x 44 x 172mm[br]Rack height[tab]1U[br]Weight[tab]3.25kg",,Adastra,3.05,22/07/2022 10:01,976,"1,823,976","Flight Cases, Racks & Bags -> 19 inch Rack Accessories",flight-cases-racks-bags/19-rack-accessories,0,59,https://www.avsl.com/assets/images/9/5/953552UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953552UK_CO5.jpg
953.556UK,DRS-6U,"19"" Desktop Rack Stand - 6U",Desktop Rack Stands,"Open format stands for stacking 19"" rack equipment on a desktop or work surface. Supplied as an easily assembled 5-section kit with rack mounting hardware, pre-punched rack strip and anti-slip rubber feet. A useful option for assembling several units where a full cabinet is not needed.",,Depth[tab]450mm,Rack height[tab]6U (267mm)[br]Dimensions[tab]337 x 500 x 300mm[br]Weight[tab]2.207kg,Adastra,2.317,28/03/2024 14:18,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,22.99,https://www.avsl.com/assets/images/9/5/953556UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953556UK_CO2.jpg
953.559UK,DRS-9U,"19"" Desktop Rack Stand - 9U",Desktop Rack Stands,"Open format stands for stacking 19"" rack equipment on a desktop or work surface. Supplied as an easily assembled 5-section kit with rack mounting hardware, pre-punched rack strip and anti-slip rubber feet. A useful option for assembling several units where a full cabinet is not needed.",,Depth[tab]450mm,Rack height[tab]9U (400mm)[br]Dimensions[tab]470 x 500 x 300mm[br]Weight[tab]2.489kg,Adastra,2.599,28/03/2024 14:18,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,29.99,https://www.avsl.com/assets/images/9/5/953559UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953559UK_CO2.jpg
953.562UK,DRS-12U,"19"" Desktop Rack Stand - 12U",Desktop Rack Stands,"Open format stands for stacking 19"" rack equipment on a desktop or work surface. Supplied as an easily assembled 5-section kit with rack mounting hardware, pre-punched rack strip and anti-slip rubber feet. A useful option for assembling several units where a full cabinet is not needed.",,Depth[tab]450mm,Rack height[tab]12U (534mm)[br]Dimensions[tab]595 x 500 x 300mm[br]Weight[tab]2.771kg,Adastra,2.916,28/03/2024 14:18,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,34.99,https://www.avsl.com/assets/images/9/5/953562UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953562UK_CO2.jpg
953.572UK,RF-12U,12U Wall or Desktop Rack Frame,"Open 19"" Rack Frames","Self-assembly rack frames that can accommodate 19"" rack equipment up to 500mm depth. Rear sections have keyhole and round punchings for wall-mounting. Four heavy duty threaded feet are provided for free standing use and are adjustable to allow for clearance and levelling on uneven surfaces. A cost-effective and accessible solution for 19"" rackmount equipment.","Free standing or wall mounted frame[br]Easy self-assembly kit[br]Fully accessible and open for ventilation[br]2 diagonal side braces and mid bottom brace for stability[br]Powder coated cold rolled steel construction[br]Supplied with 10 cage nuts, screws and cup washers",Construction[tab]Powder coated 1.2mm cold rolled steel [br]Max. load[tab]100kg (static load)[br]Width[tab]510mm[br]Depth[tab]510mm,Height[tab]725mm[br]Rack capacity[tab]12U (533mm)[br]Weight[tab]6.73kg,Adastra,7.282,16/09/2022 12:13,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,99,https://www.avsl.com/assets/images/9/5/953572UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953572UK_CO2.jpg
953.582UK,RC12U300,12U Shallow Rack Wall Cabinet,Shallow Rack Wall Cabinets,"Wall mountable powder-coated steel cabinets for rack-mounting 19"" equipment in light duy applications. A choice of 2 mounting positions for the front rack-mounting rails can accommodate a mounting depth of up to 280mm, or a shallower 220mm depth with space for protruding connectors in front. A glass window front door can be hinged either side and is fitted with a lock for security. A low profile solution for shallower rack equipment such as patch panels, wireless microphone receivers, mixers and smaller amplifiers.",Wall-mounting keyhole punch-outs on the rear panels[br]Knock-out apertures top and bottom for cable entry[br]Front and rear rack rails for securing equipment or shelves[br]Rack-mounting hardware supplied[br]Lockable toughened glass front door,Width[tab]550mm[br]Depth[tab]300mm[br]Construction[tab]1.2mm cold-rolled steel + tempered glass door[br]Max. load[tab]30kg (static)[br]Mounting depth[tab]200mm (255mm front rail to wall),Rack capacity[tab]12U[br]Height[tab]590mm[br]Weight[tab]12.56kg,Adastra,13.66,18/04/2023 11:07,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,0,119,https://www.avsl.com/assets/images/9/5/953582UK_CO5.jpg,https://www.avsl.com/assets/images/9/5/953582UK_CO4.jpg
953.586UK,HC6U450,Hinged Rack Cabinet 6U,"Hinged 19"" Rack Cabinets","Easy-access cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. A lockable rear section is hinged to allow the cabinet to swing out when wall-mounted, revealing the rear panels of installed equipment for access to connections and wiring. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied for mounting to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. Secure and convenient containment for professional rack installations.","Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Hinged rear section with lock and 2 keys[br]Easy to assemble with adjustable front & rear rack strips[br]Top and bottom knock-outs for cable feeds","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]60kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Height[tab]367mm[br]Mounting depth[tab]370mm[br]Rack height[tab]267mm (6U)[br]Depth[tab]550mm,Adastra,20.397,28/03/2024 14:15,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,199,https://www.avsl.com/assets/images/9/5/953586UK_CO1.jpg,
953.589UK,HC9U450,Hinged Rack Cabinet 9U,"Hinged 19"" Rack Cabinets","Easy-access cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. A lockable rear section is hinged to allow the cabinet to swing out when wall-mounted, revealing the rear panels of installed equipment for access to connections and wiring. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied for mounting to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. Secure and convenient containment for professional rack installations.","Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Hinged rear section with lock and 2 keys[br]Easy to assemble with adjustable front & rear rack strips[br]Top and bottom knock-outs for cable feeds","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]60kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Height[tab]500mm[br]Mounting depth[tab]370mm[br]Rack height[tab]400mm (9U)[br]Depth[tab]550mm,Adastra,23.694,28/03/2024 14:15,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,239,https://www.avsl.com/assets/images/9/5/953589UK_CO6.jpg,https://www.avsl.com/assets/images/9/5/953589UK_CO1.jpg
953.604UK,RC4U600,Rack Cabinet 4U x 600mm Deep,"19"" Rack Cabinets","Cabinets for 19"" rack-mount equipment with removable side panels and lockable front door. Constructed from cold-rolled steel with folded edges for strength and stability. Front and rear rack strip is supplied and mounted to rails inside the cabinet, enabling the mounting depth to be adjusted to accommodate equipment with overhanging fittings or to support the rear of heavy units. The top panel is vented for cooling and has a cut-out for mounting a cooling fan if required. The front door is removable and has a pane of 5mm tempered glass flanked by folded steel edge panels which can be mounted to open to either the left or right. The rear panel has fixing apertures for wall mounting or alternatively, the cabinet can be free-standing. Superbly designed, secure containment for professional rack installations.","Easy to assemble with adjustable front & rear rack strips[br]Durable epoxy powder coated finish[br]Supplied with glass door, lock and 2 keys[br]Clip-in side panels for easy access[br]Wall mountable or free-standing[br]Top and bottom knock-outs for cable feeds[br]Available in 2 depths and various rack heights","Material[tab]1.2mm cold rolled steel & 5mm tempered glass[br]Finish[tab]Epoxy powder coated RAL9004[br]Maximum load[tab]100kg static (total)[br]Standard[tab]ANS/EIA RS-310-D,IEC297-2,DIN41491,PART1,DIN41491,PART7,ETSI compliant[br]Width[tab]600mm",Depth[tab]600mm[br]Mounting depth[tab]500mm[br]Height[tab]279mm[br]Rack height[tab]178mm (4U),Adastra,18.8,24/08/2023 10:30,975,"1,823,975","Flight Cases, Racks & Bags -> 19 inch Racks",flight-cases-racks-bags/19-racks,10+,219,https://www.avsl.com/assets/images/9/5/953604UK_CO1.jpg,https://www.avsl.com/assets/images/9/5/953604UK_LD1.jpg
